content,poetry_author,poetry_name
"
,
",徐陵,关山月
"
,
",刘昶,断句
"
,
",庾信,寄王琳
"
春蚕不应老，昼夜常怀丝。,何惜微躯尽，缠绵自有时。
",佚名,作蚕丝
"
,
,
,
",佚名,陇头歌辞三首
"
,
,
,
,
,
",佚名,折杨柳歌辞五首
"
敕勒川，阴山下。,天似穹庐，笼盖四野，,天苍苍，野茫茫，风吹草低见牛羊。
",乐府诗集,敕勒歌
"
,
",江总,于长安归还扬州九月九日行薇山亭赋韵
"
,
",薛道衡,人日思归
"
可惜庭中树，移根逐汉臣。,只为来时晚，花开不及春。
",孔绍安,侍宴咏石榴
"
,
",柳开,塞上
"
亭亭画舸系春潭，直到行人酒半酣。,不管烟波与风雨，载将离恨过江南。
",郑文宝,柳枝词
"
马穿山径菊初黄，信马悠悠野兴长。,万壑有声含晚籁，数峰无语立斜阳。,棠梨叶落胭脂色，荞麦花开白雪香。,何事吟余忽惆怅，村桥原树似吾乡。
",王禹偁,村行
"
两株桃杏映篱斜，妆点商州副使家。,何事春风容不得？和莺吹折数枝花。
",王禹偁,春居杂兴·两株桃杏映篱斜
"
,
",寇准,柳
"
岸阔樯稀波渺茫，独凭危槛思何长。,萧萧远树疏林外，一半秋山带夕阳。
",寇准,书河上亭壁
"
鲍老当筵笑郭郎，笑他舞袖太郎当。,若教鲍老当筵舞，转更郎当舞袖长。
",杨亿,咏傀儡
"
,
",林逋,山园小梅二首
"
,
",宋祁,落花
"
,
",曾公亮,宿甘露寺僧舍
"
,
",梅尧臣,东溪
"
,
",梅尧臣,鲁山山行
"
陶尽门前土，屋上无片瓦。,十指不沾泥，鳞鳞居大厦。
",梅尧臣,陶者
"
春云浓淡日微光，双阙重门耸建章。,不上楼来知几日，满城无算柳梢黄。
",梅尧臣,考试毕登铨楼
"
夜雨连明春水生，娇云浓暖弄阴晴。,帘虚日薄花竹静，时有乳鸠相对鸣。
",苏舜钦,初晴游沧浪亭
"
别院深深夏席清，石榴开遍透帘明。(夏席清 一作：夏簟清),树阴满地日当午，梦觉流莺时一声。
",苏舜钦,夏意
"
昨日入城市，归来泪满巾。,遍身罗绮者，不是养蚕人。
",张俞,蚕妇
"
,
",欧阳修,晚泊岳阳
"
,
",欧阳修,画眉鸟
"
,
",欧阳修,戏答元珍
"
红树青山日欲斜，长郊草色绿无涯。,游人不管春将老，来往亭前踏落花。
",欧阳修,丰乐亭游春·其三
"
花光浓烂柳轻明，酌酒花前送我行。,我亦且如常日醉，莫教弦管作离声。
",欧阳修,别滁
"
人言落日是天涯，望极天涯不见家。,已恨碧山相阻隔，碧山还被暮云遮。
",李觏,乡思
"
墙角数枝梅，凌寒独自开。,遥知不是雪，为有暗香来。
",王安石,梅花
"
百战疲劳壮士哀，中原一败势难回。,江东子弟今虽在，肯与君王卷土来？
",王安石,叠题乌江亭
"
,
",王安石,元日
"
,
",王安石,泊船瓜洲
"
飞来山上千寻塔，闻说鸡鸣见日升。(飞来山 一作：飞来峰),不畏浮云遮望眼，自缘身在最高层。
",王安石,登飞来峰
"
金炉香烬漏声残，翦翦轻风阵阵寒。,春色恼人眠不得，月移花影上栏杆。
",王安石,夜直
"
云淡风轻近午天，傍花随柳过前川。,时人不识余心乐，将谓偷闲学少年。
",程颢,春日偶成
"
青苔满地初晴后，绿树无人昼梦余。,唯有南风旧相识，偷开门户又翻书。
",刘攽,新晴
"
一雨池塘水面平，淡磨明镜照檐楹。,东风忽起垂杨舞，更作荷心万点声。
",刘攽,雨后池上
"
清风无力屠得热，落日着翅飞上山。,人固已惧江海竭，天岂不惜河汉干？,昆仑之高有积雪，蓬莱之远常遗寒。,不能手提天下往，何忍身去游其间？
",王令,暑旱苦热
"
三月残花落更开，小檐日日燕飞来。,子规夜半犹啼血，不信东风唤不回。
",王令,送春
"
水绕陂田竹绕篱，榆钱落尽槿花稀。,夕阳牛背无人卧，带得寒鸦两两归。
",张舜民,村居
"
,
",曾巩,咏柳
"
雨过横塘水满堤，乱山高下路东西。,一番桃李花开尽，惟有青青草色齐。
",曾巩,城南二首·其一
"
,
",苏轼,题西林壁
"
,
,
",苏轼,惠崇春江晚景二首
"
,
",苏轼,和子由渑池怀旧
"
春宵一刻值千金，花有清香月有阴。,歌管楼台声细细，秋千院落夜沉沉。
",苏轼,春宵
"
水光潋滟晴方好，山色空蒙雨亦奇。,欲把西湖比西子，淡妆浓抹总相宜。
",苏轼,饮湖上初晴后雨二首·其二
"
,
",苏轼,赠刘景文
"
东风袅袅泛崇光，香雾空蒙月转廊。,只恐夜深花睡去，故烧高烛照红妆。
",苏轼,海棠
"
百里西风禾黍香，鸣泉落窦谷登场。,老牛粗了耕耘债，啮草坡头卧夕阳。
",孔平仲,禾熟
"
试说途中景，方知别后心。,行人日暮少，风雪乱山深。
",孔平仲,寄内
"
骑牛远远过前村，短笛横吹隔陇闻。,多少长安名利客，机关用尽不如君。
",黄庭坚,牧童诗
"
,
",黄庭坚,登快阁
"
四顾山光接水光，凭栏十里芰荷香。,清风明月无人管，并作南楼一味凉。
",黄庭坚,鄂州南楼书事
"
,
,
",黄庭坚,雨中登岳阳楼望君山
"
风蒲猎猎弄清柔，欲立蜻蜓不自由。,五月临平山下路，藕花无数满汀洲。
",道潜,临平道中
"
阴阴溪曲绿交加，小雨翻萍上浅沙。,鹅鸭不知春去尽，争随流水趁桃花。
",晁冲之,春日
"
,
",张耒,春日
"
庭户无人秋月明，夜霜欲落气先清。,梧桐真不甘衰谢，数叶迎风尚有声。
",张耒,夜坐
"
携杖来追柳外凉，画桥南畔倚胡床。,月明船笛参差起，风定池莲自在香。
",秦观,纳凉
"
,
",秦观,春日五首·其二
"
天寒水鸟自相依，十百为群戏落晖。,过尽行人都不起，忽闻水响一齐飞。
",秦观,还自广陵
"
,
",陈师道,春怀示邻里
"
,
,
",陈师道,示三子
"
双飞燕子几时回？夹岸桃花蘸水开。,春雨断桥人不渡，小舟撑出柳阴来。(渡 一作：度)
",徐俯,春游湖
"
,
",吴涛,绝句
